image_name,question,answer
3d5bb1977c773835f433b6795db70be4.png,Что изображено на левой части изображения?,На левой части изображена блок-схема с действиями бота kbtest123bot.
3d5bb1977c773835f433b6795db70be4.png,Какие действия предлагает бот в меню выбора?,"Бот предлагает выбрать: Запрос номера телефона, Запрос координат, Загрузка файла, Пицца, Кнопка 7."
3d5bb1977c773835f433b6795db70be4.png,Что происходит после нажатия кнопки 7?,"После нажатия кнопки 7 бот сообщает, что кнопка ничего не делает, и предлагает ввести текст."
3d5bb1977c773835f433b6795db70be4.png,Какие варианты выбора пиццы показаны в чате?,Показан вариант пиццы 'Пепперони'.
3d5bb1977c773835f433b6795db70be4.png,Какие кнопки видны в меню выбора пиццы?,В меню выбора пиццы видна кнопка 'Отмена'.
timeline-infographic.jpg,В каком году был запущен LinkedIn и какова его основная направленность?,"LinkedIn был запущен в 2002 году и ориентирован на бизнес и трудоустройство, работает через веб-сайты и мобильные приложения."
timeline-infographic.jpg,Где базируется Facebook и когда он был создан?,"Facebook был создан в 2004 году и базируется в Менло-Парке, Калифорния."
timeline-infographic.jpg,Что особенного в YouTube и когда он появился?,"YouTube появился в 2005 году и является первым крупномасштабным сайтом для обмена видео, который облегчает просмотр видео онлайн."
timeline-infographic.jpg,Какова основная функция Twitter и когда он был запущен?,"Twitter был запущен в 2006 году и служит для общения друзей, семьи и коллег через быстрый обмен сообщениями."
timeline-infographic.jpg,Какие возможности предоставляет Tumblr и в каком году он появился?,"Tumblr появился в 2007 году и позволяет легко делиться текстом, фотографиями, цитатами, ссылками, музыкой и видео с различных устройств."
ganntcharttemplate.@x1.png,Какой первый этап в процессе покупки холодильника?,Формирование технического задания.
ganntcharttemplate.@x1.png,Когда начинается этап анализа рынка?,Этап анализа рынка начинается 3 июля.
ganntcharttemplate.@x1.png,Сколько дней длится этап доставки?,"Этап доставки длится с 9 июля по 14 июля, то есть 6 дней."
ganntcharttemplate.@x1.png,Какой цвет обозначает этап установки?,Этап установки обозначен оранжевым цветом.
ganntcharttemplate.@x1.png,В какой период происходит покупка холодильника?,Покупка холодильника происходит с 6 июля по 8 июля.
------------1.png,Какое мероприятие планируется согласно изображению?,Планируется конференция.
------------1.png,Когда запланировано составить программу конференции?,Составить программу запланировано на 09.12.2022 в 11:00.
------------1.png,Какие задачи связаны с поиском и оформлением помещения?,"Задачи: найти и оформить помещение, а также придумать дополнительные мероприятия."
------------1.png,Какой процент выполнения задачи 'Найти и оформить помещение'?,Выполнение задачи составляет 50%.
------------1.png,Когда запланирован кофе-брейк?,Кофе-брейк запланирован до 16.01.2023 15:00.
avtomatizacia-biznes-processov-1024x494.jpg,Какова основная цель стратегии и глобальных целей компании?,Основная цель - внутренние проекты развития и достижение стратегических целей.
avtomatizacia-biznes-processov-1024x494.jpg,Какие элементы входят в уровень управления процессами?,"В уровень управления процессами входят бизнес-процессы, метрики процессов и показатели деятельности."
avtomatizacia-biznes-processov-1024x494.jpg,Какие системы представлены на уровне исполнения (автоматизации)?,"На уровне исполнения представлены системы ERP, CRM, BPM, проекты и логистика."
avtomatizacia-biznes-processov-1024x494.jpg,Что включает уровень персонала и мотивации?,Уровень персонала и мотивации включает матрицы эффективности и регламенты процессов.
avtomatizacia-biznes-processov-1024x494.jpg,Как связаны бизнес-процессы с другими элементами в схеме?,"Бизнес-процессы связаны с метриками процессов, показателями деятельности, ERP, CRM, BPM, проектами, логистикой, матрицами эффективности и регламентами процессов."
Untitled-3-1.png,Что происходит каждый день в 10 утра?,Каждый день в 10 утра происходит запуск процесса.
Untitled-3-1.png,Какие данные используются для свода в общий набор?,Используются список заявок (только необработанные) и список исполнителей (все свободные на сегодня).
Untitled-3-1.png,Что происходит после свода всех данных в общий набор?,Данные фильтруются по категориям.
Untitled-3-1.png,Какие категории фильтруются после обработки данных?,"Фильтруются категории: Консультация, Дизайн, Разработка, Прочее."
Untitled-3-1.png,Что происходит после фильтрации по категориям?,"Для каждой категории создается шаблон уведомления и отправляется сообщение в соответствующую группу: Консультанты, Дизайнеры, Разработчики, Менеджер."
sddefault.jpg,Какова основная тема изображения?,Автоматизация бизнес-процессов и оптимизация работы большой компании.
sddefault.jpg,Какие ключевые слова выделены в схеме?,"WORK, TEAM, OFFER, PROCESS, RELAX, SMM."
sddefault.jpg,Что изображён человек на картинке?,"Человек задумчиво смотрит на схему, держа руку у подбородка."
sddefault.jpg,Какая цель автоматизации бизнес-процессов указана в заголовке?,Оптимизировать работу большой компании.
sddefault.jpg,Какие цвета используются для выделения ключевых элементов схемы?,Жёлтый и серый.
3 (1).png,Какие типы проекций изображены на схеме?,На схеме изображены прямая и обратная проекции.
3 (1).png,Какие варианты крепления проектора показаны?,Показаны крепления на потолочном кронштейне и на устойчивой поверхности.
3 (1).png,Что изображено в первом варианте проекции?,Прямая проекция на потолочном кронштейне.
3 (1).png,Какой вариант проекции показан во втором изображении?,Обратная проекция на потолочном кронштейне.
3 (1).png,Чем отличается третий вариант проекции от четвертого?,"Третий вариант — прямая проекция на устойчивой поверхности, а четвертый — обратная проекция на устойчивой поверхности."
architecture-diagram.jpg,Кто являются пользователями чат-бота?,Новые сотрудники и HR-команда (модераторы и администраторы).
architecture-diagram.jpg,Какой интерфейс используется для взаимодействия новых сотрудников с чат-ботом?,Telegram Bot API.
architecture-diagram.jpg,Какие функции выполняет Bot Service?,Обработка сообщений и управление диалогами.
architecture-diagram.jpg,Для чего используется Redis в архитектуре чат-бота?,Для кэширования и сессий.
architecture-diagram.jpg,Какие технологии используются в NLP Engine?,BERT и FAISS для классификации запросов.
architecture-diagram.jpg,Как HR-команда взаимодействует с системой?,Через Admin Panel с Django-интерфейсом и через HR Support — интерфейс для специалистов.
architecture-diagram.jpg,Какая база данных используется для хранения данных?,PostgreSQL.
architecture-diagram.jpg,Что управляет контентом и поиском ответов в системе?,Knowledge Base.
architecture-diagram.jpg,Какие технологии используются для инфраструктуры?,"Docker, Kubernetes, Мониторинг."
nginx_architecture_ru.jpg,Что обозначает блок 'Управляющий процесс (Master)'?,"Он отвечает за чтение настроек, запуск 'исполнителей' и обновление 'на лету'."
nginx_architecture_ru.jpg,Какие протоколы используются для связи между пользователями и исполнителями?,Используются протоколы HTTP и HTTPS.
nginx_architecture_ru.jpg,Какие компоненты входят в состав исполнителя (Worker)?,"В состав исполнителя входят ht_core, ht_upstream, proxy и ht_fastcgi."
nginx_architecture_ru.jpg,Какие технологии используются для мультиплексирования?,"Используются kevent, epoll и select."
nginx_architecture_ru.jpg,Какие функции выполняет встроенная система расширений (Backend)?,"Встроенная система расширений включает Web-сервер, сервер приложений (Application server) и Memcached."
img-seUu6Y.jpg,Какие базы данных показаны на схеме?,"Объектно-ориентированные БД, Реляционная БД, Другие данные."
img-seUu6Y.jpg,Какие интерфейсы используются для взаимодействия с базами данных?,Интерфейс ADO и Интерфейс OLE DB.
img-seUu6Y.jpg,Какие модули расширения указаны для веб-сервера?,ISAPI и CGI.
img-seUu6Y.jpg,Какие объекты и классы используются на стороне пользователя Интернета?,ActiveX-объект и Java-апплет.
img-seUu6Y.jpg,Какой протокол используется для передачи данных между пользователем и веб-сервером?,HTTP через TCP/IP.
cb7f38a592c84a29aa9088d5a18156ca.png,Какая роль у клиента в данной системе?,"Клиент (браузер) взаимодействует с API Gateway и напрямую с базой данных продуктов, а также с сервисом аутентификации."
cb7f38a592c84a29aa9088d5a18156ca.png,Какую функцию выполняет API Gateway?,API Gateway обрабатывает запросы клиента и направляет их к функциям покупки и поиска.
cb7f38a592c84a29aa9088d5a18156ca.png,Какие функции связаны с API Gateway?,С API Gateway связаны функция покупки и функция поиска.
cb7f38a592c84a29aa9088d5a18156ca.png,Какие базы данных используются в системе?,В системе используются база данных продуктов и база данных покупок.
cb7f38a592c84a29aa9088d5a18156ca.png,Как взаимодействует сервис аутентификации с другими компонентами?,Сервис аутентификации взаимодействует напрямую с клиентом (браузером).
01-1024x576.jpg,Сколько доменных имен зарегистрировано на момент исследования?,4 000 000 и 831 000 доменных имен.
01-1024x576.jpg,Сколько россиян пользуются интернетом?,В сети более 60 миллионов россиян.
01-1024x576.jpg,Какой процент пользователей мобильного интернета использует безлимитный тариф?,31% пользователей мобильного интернета используют безлимитный тариф.
01-1024x576.jpg,Какой рост числа пользователей интернета в домах за последние полгода?,Рост примерно на 10%.
01-1024x576.jpg,Сколько пользователей интернета в России ожидается к концу 2014 года?,Около 80 миллионов человек.
изо-поста.png,Какая задача начинается 1 февраля и заканчивается 3 февраля?,Пост о Турнире начинается 1 февраля и заканчивается 3 февраля.
изо-поста.png,Когда планируется отправка материалов координаторам?,Отправка материалов координаторам запланирована на 9 февраля.
изо-поста.png,Какая задача выполняется с 6 по 9 февраля?,Подбор команд координаторов на местах выполняется с 6 по 9 февраля.
изо-поста.png,Когда проводится тестирование?,Тестирование проводится с 10 по 13 февраля.
изо-поста.png,Какая задача запланирована на 15 февраля?,Итоговый пост о Турнире запланирован на 15 февраля.
1672132693-mceu_79356383511672132693613.png,Что ответил финансовый ассистент Тинькофф Банка на запрос о подключении смс-информирования?,"Финансовый ассистент ответил, что не сможет помочь и предложил воспользоваться поиском или обратиться к оператору в чате 'Поддержка'."
1672132693-mceu_79356383511672132693613.png,Как финансовый ассистент Тинькофф Банка советует узнать баланс карты?,"Он советует посмотреть баланс в разделе 'Главная' или пролистать вправо и выбрать карту, чтобы он подсказал баланс."
1672132693-mceu_79356383511672132693613.png,Что ответил бот банка Хоум Кредит на вопрос о номере кол-центра?,"Бот приветствует пользователя, сообщает, что знает ответы на многие вопросы и предлагает связаться по номеру 8-495-785-82-22, предупреждая о возможной плате за звонок."
1672132693-mceu_79356383511672132693613.png,"Как бот банка Хоум Кредит предлагает поступить, если возникнут сложности?","Если возникнут сложности, бот обещает перевести пользователя на своего коллегу."
1672132693-mceu_79356383511672132693613.png,"Что советует бот банка Хоум Кредит делать, чтобы сэкономить время?","Бот советует задавать ему вопросы, так как он знает ответы на многие из них и постарается помочь."
research.jpg,Какой процент данных приходится на Америку согласно круговой диаграмме?,45%
research.jpg,Какой регион имеет самый высокий процент по данным на карте мира?,Азия с 73%
research.jpg,Какой процент данных приходится на Европу согласно круговой диаграмме?,23%
research.jpg,Какой процент данных приходится на Африку согласно круговой диаграмме?,20%
research.jpg,Какой процент данных приходится на другие регионы согласно круговой диаграмме?,15%
ierarhy.jpg,Какие основные категории потребностей представлены на изображении?,"Физиологические, уважение, духовные, самоактуализация, безопасность, любовь/принадлежность."
ierarhy.jpg,Какие потребности относятся к категории 'Physiological'?,"Питание, дыхание, вода, сон, гомеостаз, выделение, секс."
ierarhy.jpg,Что включает в себя категория 'Esteem'?,"Уважение других, достижение, уверенность, самооценка."
ierarhy.jpg,Какие потребности входят в категорию 'Safety'?,"Безопасность тела, семьи, собственности, здоровья, ресурсов, занятости, морали."
ierarhy.jpg,Что обозначает категория 'Self-actualization' на изображении?,"Решение проблем, спонтанность, отсутствие предубеждений, принятие фактов, творчество, мораль."
content_img.png,"Что происходит, если команда пользователя соответствует выполненным условиям?","Берем необходимые данные из присланных (Бот, Чат, Текст), получаем временные данные из параметров действий, выполняем код 1С работы с базой, сохраняем временные данные для других действий, формируем сообщение и добавляем клавиатуру."
content_img.png,"Что происходит, если команда пользователя не соответствует выполненным условиям?",Отправляется сообщение бота с текстом 'Я не знаю таких команд.'
content_img.png,Какие данные берутся из присланных сообщений?,"Берутся данные Бот, Чат и Текст."
content_img.png,"Что происходит с временными данными, которые нужны для обработки?",Временные данные получаются из параметров действий и сохраняются для других действий в параметрах действий.
content_img.png,Что включает в себя блок 'Параметры действий'?,"По боту, чату и названию параметра находится его значение, затем записываются бот, чат и значение параметра."
4e8b52c5fa37046d1034b55b71f2d693.png,Что означает сообщение 'Запись включина' и когда оно было отправлено?,"Сообщение 'Запись включина' означает, что запись была включена, и оно было отправлено в 18:30."
4e8b52c5fa37046d1034b55b71f2d693.png,Какие команды были отправлены боту для засекания времени?,Боту были отправлены команды 'засеки минутку' в 18:31 и 'Засеки 5 минут' в 18:31.
4e8b52c5fa37046d1034b55b71f2d693.png,Сколько аудиосообщений отправлено и в какое время?,"Отправлено два аудиосообщения, оба в 18:31, каждое длительностью 2 секунды."
4e8b52c5fa37046d1034b55b71f2d693.png,Какие опции доступны внизу экрана для управления записью?,"Доступны опции 'Удалить пр запись', 'Пропустить' и 'Конец'."
4e8b52c5fa37046d1034b55b71f2d693.png,Что показывает статистика в верхней части чата?,"Статистика показывает количество засечек: 10 минут - 1, минутку - 0, полчаса - 1, и общее время 0.0 часов 2.0 минут 53.079999999999984 секунд."
diagramma-ganta-06.jpg,Какая задача началась 10.01.2024 и кто её исполнитель?,"Задача 'Подготовка к сборам' началась 10.01.2024, исполнитель - Маша."
diagramma-ganta-06.jpg,Какие задачи уже выполнены?,Выполнена задача 'Выставить объявления на Авито'.
diagramma-ganta-06.jpg,Кто отвечает за сортировку лишних вещей и каков статус этой задачи?,"За сортировку лишних вещей отвечает Катя, статус задачи 'В процессе'."
diagramma-ganta-06.jpg,Какие задачи выполняет Антон и каков их статус?,"Антон выполняет задачи 'Выбросить хлам' (в процессе), 'Подготовить упаковочный материал' (выбрать), 'Составить список для покупки' (выбрать), 'Заказать и забрать материалы' (выбрать)."
diagramma-ganta-06.jpg,Когда планируется составить план упаковки по зонам и кто за это отвечает?,"План упаковки по зонам планируется составить с 23.01.2024 по 24.01.2024, ответственная - Катя."
Install_Win10_srinshots7.jpg,Что означает красный текст 'Осторожно!'?,"Он предупреждает о необходимости форматирования, если разделы были раньше."
Install_Win10_srinshots7.jpg,Какой раздел не рекомендуется трогать?,Диск 0 Раздел 1: Зарезервировано систем.
Install_Win10_srinshots7.jpg,"Что нужно сделать, если диск чистый?",Создать разделы.
